category_id,brand_id,product_name,description,price,stock,thumbnail
3,1,Tine Glow Perfume 1,San pham Perfume giup cham soc sac dep an toan va hieu qua,86.4,326,https://images.unsplash.com/photo-1571781526291-c477eb311dc6?w=400
1,1,Tine Glow Cleanser 2,San pham Cleanser giup cham soc sac dep an toan va hieu qua,28.6,138,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=400
2,1,Tine Velvet Cushion 3,San pham Cushion giup cham soc sac dep an toan va hieu qua,85.0,124,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=400
2,1,Tine Luminous Cushion 4,San pham Cushion giup cham soc sac dep an toan va hieu qua,19.2,334,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=400
3,1,Tine Glow Rollerball 5,San pham Rollerball giup cham soc sac dep an toan va hieu qua,73.1,312,https://images.unsplash.com/photo-1541643600914-78b084683601?w=400
1,1,Tine Hydrating Mask 6,San pham Mask giup cham soc sac dep an toan va hieu qua,55.2,292,https://images.unsplash.com/photo-1515688594390-b649af70d282?w=400
3,1,Tine Radiant Mist 7,San pham Mist giup cham soc sac dep an toan va hieu qua,64.7,86,https://images.unsplash.com/photo-1599305090598-fe179d501227?w=400
2,1,Tine Velvet Lipstick 8,San pham Lipstick giup cham soc sac dep an toan va hieu qua,25.2,140,https://images.unsplash.com/photo-1586495777744-4413f21062fa?w=400
1,1,Tine Silk Cleanser 9,San pham Cleanser giup cham soc sac dep an toan va hieu qua,66.5,445,https://images.unsplash.com/photo-1512496015851-a1dc8a477858?w=400
1,1,Tine Glow Toner 10,San pham Toner giup cham soc sac dep an toan va hieu qua,83.0,41,https://images.unsplash.com/photo-1599305090598-fe179d501227?w=400
2,1,Tine Midnight Blush 11,San pham Blush giup cham soc sac dep an toan va hieu qua,52.8,132,https://images.unsplash.com/photo-1599305090598-fe179d501227?w=400
